baker,last_name,series,baker_age,baker_occupation,hometown,episode,technical,result,signature_bake,show_stopper
ali,Imdad,4,25,Charity worker,"Saltley, Birmingham",1,11,IN,Rose and Pistachio Cake,"Chocolate, Raspberry and Passion Fruit Engagement Cake"
ali,Imdad,4,25,Charity worker,"Saltley, Birmingham",2,9,IN,Italian Grissini,Sweet and Savoury Yin Yang Bread
ali,Imdad,4,25,Charity worker,"Saltley, Birmingham",3,5,IN,"Coconut, Raspberry and Lemon Meringue Trifle",Vanilla Latte Mini CakesLime & Mint Shortbread Pops
ali,Imdad,4,25,Charity worker,"Saltley, Birmingham",4,8,OUT,Apple and Ginger Pie with a Pecan and Walnut Shortcrust Pastry,"Orange, Cardamom and Date M'Hanncha"
ali,Imdad,4,25,Charity worker,"Saltley, Birmingham",5,NA,NA,NA,NA
ali,Imdad,4,25,Charity worker,"Saltley, Birmingham",6,NA,NA,NA,NA
ali,Imdad,4,25,Charity worker,"Saltley, Birmingham",7,NA,NA,NA,NA
ali,Imdad,4,25,Charity worker,"Saltley, Birmingham",8,NA,NA,NA,NA
ali,Imdad,4,25,Charity worker,"Saltley, Birmingham",9,NA,NA,NA,NA
ali,Imdad,4,25,Charity worker,"Saltley, Birmingham",10,NA,NA,NA,NA
alice,Fevronia,10,28,Geography teacher,Essex,1,5,IN,NA,NA
alice,Fevronia,10,28,Geography teacher,Essex,2,1,STAR BAKER,NA,NA
alice,Fevronia,10,28,Geography teacher,Essex,3,7,IN,NA,NA
alice,Fevronia,10,28,Geography teacher,Essex,4,8,IN,NA,NA
alice,Fevronia,10,28,Geography teacher,Essex,5,6,IN,NA,NA
alice,Fevronia,10,28,Geography teacher,Essex,6,1,IN,NA,NA
alice,Fevronia,10,28,Geography teacher,Essex,7,6,IN,NA,NA
alice,Fevronia,10,28,Geography teacher,Essex,8,3,IN,NA,NA
alice,Fevronia,10,28,Geography teacher,Essex,9,4,STAR BAKER,NA,NA
alice,Fevronia,10,28,Geography teacher,Essex,10,2,Runner-up,NA,NA
alvin,Magallanes,6,37,Nurse,"Bracknell, Berkshire",1,2,IN,Orange Vanilla and Fig Madeira Cake,Black Forest Gâteau
alvin,Magallanes,6,37,Nurse,"Bracknell, Berkshire",2,6,IN,"Jackfruit, Pistachio and Macadamia Biscotti",Gingerbread Box filled with Brandy Snaps
alvin,Magallanes,6,37,Nurse,"Bracknell, Berkshire",3,4,IN,"Prosciutto, Manchego and Balsamic Onion Soda Breads",Cornucopia
alvin,Magallanes,6,37,Nurse,"Bracknell, Berkshire",4,9,IN,Blackberry Crème Brûlées,Tower of Fruits Cheesecakes
alvin,Magallanes,6,37,Nurse,"Bracknell, Berkshire",5,8,IN,Pineapple Upside Down Cake,"Buko Pandan, Mango and Passion Fruit Ice Cream Roll"
alvin,Magallanes,6,37,Nurse,"Bracknell, Berkshire",6,6,OUT,Plum Frangipane Tart,Smoked Salmon En Croûte and Vermouth Chicken à la King Vol-au-vents
